player_sum,dealer,usable,tc_bucket,action,q
18,7,0,7,1,-0.29831955343791944
8,7,0,8,0,-0.0828650221404572
8,7,0,8,1,-0.028867302443538693
28,7,0,6,0,0.0
28,7,0,6,1,0.0
21,10,1,3,0,0.9141433008533283
21,10,1,3,1,0.0073188603391429775
28,5,0,1,0,0.0
28,5,0,1,1,0.0
18,5,0,2,0,0.19209861161105035
18,5,0,2,1,-0.11049971040017335
7,3,0,5,0,-0.008641229328339103
7,3,0,5,1,-0.02980938675441845
7,3,0,4,0,-0.057455305572079896
7,3,0,4,1,-0.020931761348589425
12,10,0,4,0,-0.4320362272017697
12,10,0,4,1,-0.36645040538883333
17,9,0,5,0,-0.3834776352334213
17,9,0,5,1,-0.38737157255924565
17,9,0,2,0,-0.2729295213781672
17,9,0,2,1,-0.3105205258968777
23,3,0,6,0,0.0
23,3,0,6,1,0.0
16,3,0,6,0,-0.35985508017164547
16,3,0,6,1,-0.37753811117615715
14,10,0,7,0,-0.6167874526684283
14,10,0,7,1,-0.46482179542962143
10,10,0,5,0,-0.2279797846276533
10,10,0,5,1,-0.09053733090878234
14,10,0,5,0,-0.5436529579457987
14,10,0,5,1,-0.43686490780592224
19,10,0,4,0,0.061590556076652134
19,10,0,4,1,-0.5875121043698709
19,10,0,0,0,0.020056135126689533
19,10,0,0,1,-0.7107637227654763
18,10,0,2,0,-0.1777362702738401
18,10,0,2,1,-0.4007174709964824
10,10,0,2,0,-0.18563660220368636
10,10,0,2,1,-0.0130910492008207
28,10,0,0,0,0.0
28,10,0,0,1,0.0
18,5,0,11,0,0.1959932903668512
18,5,0,11,1,-0.4453287134337726
13,5,0,11,0,-0.18874236556117358
13,5,0,11,1,-0.34380367896026426
18,5,0,12,0,0.16305961576436742
18,5,0,12,1,-0.4153622725792823
14,4,1,12,0,-0.038247325572079896
14,4,1,12,1,-0.006871852305017275
20,4,0,11,0,0.5835585704587359
20,4,0,11,1,-0.5475959271458533
11,6,0,14,0,-0.006076191448371921
11,6,0,14,1,0.12812950820718855
